,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,60.19,moderate rain,-33.5906,26.891,The Halyards Hotel
1,Pauini,BR,87.3,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
2,Port Alfred,ZA,60.19,moderate rain,-33.5906,26.891,The Halyards Hotel
3,Pauini,BR,87.3,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
5,Samarai,PG,82.9,few clouds,-10.6167,150.6667,Nuli Sapi
6,Kermanshah,IR,63.73,clear sky,34.3142,47.065,Sina Hotel
7,Yatou,CN,67.17,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
8,Touros,BR,76.66,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
15,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
16,Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Christchurch,NZ,68.32,overcast clouds,-43.5333,172.6333,The George
20,Hilo,US,88.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Sassari,IT,67.78,few clouds,40.7272,8.5603,Hotel Marini
24,Kaeo,NZ,63.32,overcast clouds,-35.1,173.7833,Bushido Lodge
27,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
29,Bethel,US,68.31,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
31,Hobart,AU,61.05,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
34,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Rikitea,PF,68.16,scattered clouds,-23.1203,-134.9692,People ThankYou
38,Faanui,PF,78.1,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Atuona,PF,76.08,light rain,-9.8,-139.0333,Villa Enata
40,Sinnamary,GF,80.11,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
42,Halifax,CA,62.49,mist,44.6453,-63.5724,Hotel Halifax
43,Lianran,CN,60.46,clear sky,24.9227,102.485,半岛酒店
48,New Norfolk,AU,60.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
50,Mascali,IT,73.2,broken clouds,37.7558,15.1959,B&B Alhambra
51,Cape Town,ZA,60.39,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
52,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
54,Butaritari,KI,82.15,few clouds,3.0707,172.7902,Isles Sunset Lodge
56,East London,ZA,65.95,moderate rain,-33.0153,27.9116,Tu Casa
59,Alpiarca,PT,61.9,clear sky,39.2571,-8.5819,Quinta da Torre
60,Cidreira,BR,63.82,broken clouds,-30.1811,-50.2056,Hotel Castelo
61,Presidencia Roque Saenz Pena,AR,74.68,few clouds,-26.7852,-60.4388,Hotel Gualok
66,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
67,Esfarayen,IR,61.81,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
69,Bud,US,62.67,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
71,Arsenyev,RU,62.37,clear sky,44.1631,133.2733,ArsHostel on Kalininskaya 18
76,Saint-Pierre,RE,65.88,broken clouds,-21.3393,55.4781,Alize Plage
77,Westport,US,71.42,clear sky,41.1415,-73.3579,The Westport Inn
78,Faya,SA,63.34,clear sky,18.3851,42.4509,املاك خالد الشعشوع
80,Vila Franca Do Campo,PT,68.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
82,Kavaratti,IN,81.28,broken clouds,10.5669,72.642,Green leaf
85,Dakar,SN,77.88,light rain,14.6937,-17.4441,Novotel Dakar
91,Saint Joseph,US,68.56,few clouds,39.7686,-94.8466,Whiskey Mansion Inn
92,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
96,Fomboni,KM,76.32,clear sky,-12.28,43.7425,Auberge les abou
97,Georgetown,MY,81.9,thunderstorm,5.4112,100.3354,Cititel Penang
100,Hithadhoo,MV,82.11,broken clouds,-0.6,73.0833,Scoop Guest House
101,Ribeira Grande,PT,70.81,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
105,Hede,CN,70.38,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
107,San Fernando,PH,81.0,overcast clouds,15.0286,120.6898,Maharlika Hostel
110,Praia Da Vitoria,PT,68.25,few clouds,38.7333,-27.0667,Hotel Branco I
112,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
117,Bahia Honda,CU,75.24,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
118,Porto Seguro,BR,73.09,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
119,Palmer,US,61.86,scattered clouds,42.1584,-72.3287,Wedgewood Motel
123,Dabeiba,CO,73.6,overcast clouds,7.0017,-76.2672,Hotel cactus 2
124,Hasaki,JP,79.21,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
