,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,60.19,95,100,8.01,moderate rain
1,Pauini,BR,-7.7136,-66.9764,87.3,41,95,3.65,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,60.19,95,100,10.0,moderate rain
3,Pauini,BR,-7.7136,-66.9764,87.3,41,95,3.65,overcast clouds
4,Longyearbyen,SJ,78.2186,15.6401,39.04,87,20,0.0,few clouds
5,Samarai,PG,-10.6167,150.6667,82.9,73,22,8.68,few clouds
6,Kermanshah,IR,34.3142,47.065,63.73,28,0,2.06,clear sky
7,Yatou,CN,37.15,122.3833,67.17,71,0,0.74,clear sky
8,Touros,BR,-5.1989,-35.4608,76.66,78,26,15.93,scattered clouds
9,Deputatskiy,RU,69.3,139.9,21.0,95,100,4.16,light snow
10,Ushuaia,AR,-54.8,-68.3,38.86,81,40,26.46,scattered clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,33.1,70,90,15.32,overcast clouds
12,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,6.91,clear sky
13,Adrar,MR,20.5022,-10.0711,93.85,24,87,7.38,overcast clouds
14,Khatanga,RU,71.9667,102.5,23.45,98,90,8.77,overcast clouds
15,Pisco,PE,-13.7,-76.2167,62.65,72,100,11.5,overcast clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,66.54,94,97,8.99,overcast clouds
17,Busselton,AU,-33.65,115.3333,54.9,79,1,5.48,clear sky
18,Christchurch,NZ,-43.5333,172.6333,68.32,58,100,5.75,overcast clouds
19,Duldurga,RU,50.6761,113.5931,46.89,63,100,4.21,overcast clouds
20,Hilo,US,19.7297,-155.09,88.29,67,40,11.5,scattered clouds
21,Tasiilaq,GL,65.6145,-37.6368,41.16,91,100,4.14,overcast clouds
22,Sassari,IT,40.7272,8.5603,67.78,60,15,12.59,few clouds
23,Norman Wells,CA,65.282,-126.8329,46.72,69,100,10.38,overcast clouds
24,Kaeo,NZ,-35.1,173.7833,63.32,82,97,12.97,overcast clouds
25,Castro,BR,-24.7911,-50.0119,56.14,96,97,4.18,overcast clouds
26,Henties Bay,NA,-22.116,14.2845,54.39,90,4,9.66,clear sky
27,Avarua,CK,-21.2078,-159.775,77.05,94,75,12.66,light rain
28,Bredasdorp,ZA,-34.5322,20.0403,52.07,91,47,4.94,scattered clouds
29,Bethel,US,41.3712,-73.414,68.31,83,0,3.44,clear sky
30,Hermanus,ZA,-34.4187,19.2345,47.8,84,49,4.97,scattered clouds
31,Hobart,AU,-42.8794,147.3294,61.05,77,100,2.26,overcast clouds
32,Yekaterinovka,RU,52.0508,44.3451,47.1,72,65,5.01,broken clouds
33,Lasa,IT,46.6166,10.7002,49.69,94,99,4.05,overcast clouds
34,Vaini,TO,-21.2,-175.2,82.56,69,75,6.91,broken clouds
35,Chuy,UY,-33.6971,-53.4616,56.98,95,10,4.18,clear sky
36,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,87,100,8.95,light rain
37,Rikitea,PF,-23.1203,-134.9692,68.16,57,34,5.32,scattered clouds
38,Faanui,PF,-16.4833,-151.75,78.1,73,5,14.36,clear sky
39,Atuona,PF,-9.8,-139.0333,76.08,80,34,19.08,light rain
40,Sinnamary,GF,5.3833,-52.95,80.11,83,3,12.97,clear sky
41,Jurado,CO,7.1053,-77.7641,77.68,89,100,3.36,overcast clouds
