City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Koumac,NC,2022-09-10 23:09:58,-20.5667,164.2833,79.66,68,0,1.36
1,Puerto Ayora,EC,2022-09-10 23:09:58,-0.7393,-90.3518,67.55,86,84,5.99
2,Busselton,AU,2022-09-10 23:09:59,-33.65,115.3333,50.7,90,7,2.84
3,Los Alamos,US,2022-09-10 23:05:44,35.8881,-106.307,75.76,37,0,5.75
4,Georgetown,MY,2022-09-10 23:09:59,5.4112,100.3354,80.53,87,20,3.44
5,Nome,US,2022-09-10 23:09:45,64.5011,-165.4064,48.27,62,75,6.91
6,Bredasdorp,ZA,2022-09-10 23:10:00,-34.5322,20.0403,54.37,77,0,11.99
7,Forest,US,2022-09-10 23:10:00,37.3638,-79.2897,68.72,98,100,1.01
8,Saint-Philippe,RE,2022-09-10 23:10:01,-21.3585,55.7679,67.59,71,53,9.62
9,Pauini,BR,2022-09-10 23:10:01,-7.7136,-66.9764,76.93,79,81,2.8
10,Clyde,US,2022-09-10 23:10:02,41.3042,-82.9752,78.57,65,100,12.06
11,Guerrero Negro,MX,2022-09-10 23:10:02,27.9769,-114.0611,85.91,54,14,6.51
12,Borkenes,NO,2022-09-10 23:10:02,68.774,16.1739,47.68,100,100,1.81
13,Geraldton,AU,2022-09-10 23:10:03,-28.7667,114.6,50.41,93,0,9.22
14,Lebu,CL,2022-09-10 23:08:13,-37.6167,-73.65,49.19,87,0,14.38
15,Chuy,UY,2022-09-10 23:10:03,-33.6971,-53.4616,45.39,77,0,8.39
16,Hovd,MN,2022-09-10 23:10:04,48.0056,91.6419,54.9,50,3,7.61
17,Torbay,CA,2022-09-10 23:05:31,47.6666,-52.7314,57.58,93,100,32.99
18,Cherskiy,RU,2022-09-10 23:10:04,68.75,161.3,52.0,68,97,1.95
19,Rikitea,PF,2022-09-10 23:10:05,-23.1203,-134.9692,72.79,72,4,12.28
20,Mirnyy,RU,2022-09-10 23:10:05,62.5353,113.9611,34.59,88,57,3.38
21,Daru,PG,2022-09-10 23:10:06,-9.0763,143.2092,80.42,84,76,12.35
22,Mataura,NZ,2022-09-10 23:10:06,-46.1927,168.8643,51.91,56,4,3.47
23,Lompoc,US,2022-09-10 23:10:06,34.6391,-120.4579,84.78,68,40,8.05
24,Hermanus,ZA,2022-09-10 23:10:07,-34.4187,19.2345,53.8,83,4,12.62
25,Tazovskiy,RU,2022-09-10 23:10:07,67.4667,78.7,38.03,87,100,6.98
26,Aljezur,PT,2022-09-10 23:10:08,37.3191,-8.8033,66.63,91,0,4.7
27,Vaini,TO,2022-09-10 23:10:08,-21.2,-175.2,78.96,78,75,9.22
28,Kailua,US,2022-09-10 23:10:09,21.4022,-157.7394,87.78,65,32,1.99
29,Upernavik,GL,2022-09-10 23:10:09,72.7868,-56.1549,43.03,95,100,5.93
30,Byron Bay,AU,2022-09-10 23:10:09,-28.65,153.6167,65.71,54,5,7.65
31,Middlebury,US,2022-09-10 23:07:00,44.0153,-73.1673,74.57,73,0,0.0
32,Mahebourg,MU,2022-09-10 23:10:10,-20.4081,57.7,67.24,72,3,9.86
33,Ust-Kut,RU,2022-09-10 23:10:10,56.7938,105.7672,39.72,92,13,2.89
34,Suifenhe,CN,2022-09-10 23:10:11,44.4,131.1667,62.33,73,100,2.04
35,Kapaa,US,2022-09-10 23:10:12,22.0752,-159.319,82.72,75,0,9.22
